customerID,Churn_Probability,Risk_Label,tenure,MonthlyCharges,TotalCharges,Segment,CLV_Enhanced,CLV_Tier,Churn,Priority,Retention_Strategy
8108-UXRQN,0.4813,Medium Risk,11,50.55,565.35,At Risk,282.68,Medium Value,No,Medium,SMS Reminder
9191-MYQKX,0.7396,High Risk,7,75.15,496.9,At Risk,248.45,Medium Value,Yes,High,Discount Offer
9919-YLNNG,0.5892,Medium Risk,42,103.8,4327.5,Champions,3966.88,Premium,No,High,Loyalty Reward
0318-ZOPWS,0.0284,Low Risk,49,20.15,973.35,Inactive,405.56,Medium Value,No,Low,No Action Needed
4445-ZJNMU,0.9252,High Risk,9,99.3,918.75,Loyal Customers,612.5,Medium Value,No,High,Discount Offer
4808-YNLEU,0.0942,Low Risk,35,62.15,2215.45,At Risk,1292.35,High Value,No,Low,No Action Needed
1862-QRWPE,0.0365,Low Risk,48,20.65,1057.0,Inactive,440.42,Medium Value,No,Low,No Action Needed
2796-NNUFI,0.0235,Low Risk,46,19.95,927.1,Inactive,386.29,Medium Value,No,Low,No Action Needed
3016-KSVCP,0.4443,Medium Risk,29,33.75,1009.25,Inactive,336.42,Medium Value,No,Medium,SMS Reminder
4767-HZZHQ,0.4234,Medium Risk,30,82.05,2570.2,Loyal Customers,1713.47,High Value,No,High,Loyalty Reward
2424-WVHPL,0.7172,High Risk,1,74.7,74.7,At Risk,37.35,Low Value,No,High,Email Campaign
7233-PAHHL,0.0245,Low Risk,66,84.0,5714.25,Champions,5238.06,Premium,No,Low,No Action Needed
6067-NGCEU,0.2806,Low Risk,65,111.05,7107.0,Champions,7107.0,Premium,No,Low,No Action Needed
9848-JQJTX,0.1715,Low Risk,72,100.9,7459.05,Champions,7459.05,Premium,No,Low,No Action Needed
8637-XJIVR,0.7179,High Risk,12,78.95,927.35,At Risk,540.95,Medium Value,Yes,High,Discount Offer
9803-FTJCG,0.0306,Low Risk,71,66.85,4748.7,Loyal Customers,3561.52,Premium,No,Low,No Action Needed
0278-YXOOG,0.3547,Low Risk,5,21.05,113.85,Inactive,28.46,Low Value,Yes,Low,No Action Needed
3212-KXOCR,0.0576,Low Risk,52,21.0,1107.2,Inactive,461.33,Medium Value,No,Low,No Action Needed
4598-XLKNJ,0.8319,High Risk,25,98.5,2514.5,Loyal Customers,1885.88,High Value,Yes,Critical,Personal Relationship Manager
6380-ARCEH,0.5606,Medium Risk,1,20.2,20.2,Inactive,5.05,Low Value,No,Medium,SMS Reminder
3679-XASPY,0.6094,Medium Risk,1,19.45,19.45,Inactive,4.86,Low Value,No,Medium,SMS Reminder
7123-WQUHX,0.1424,Low Risk,38,95.0,3605.6,Champions,3004.67,High Value,No,Low,No Action Needed
5386-THSLQ,0.1479,Low Risk,66,45.55,3027.25,Loyal Customers,2018.17,High Value,No,Low,No Action Needed
3192-NQECA,0.5339,Medium Risk,68,110.0,7611.85,Champions,7611.85,Premium,Yes,High,Loyalty Reward
6180-YBIQI,0.6682,Medium Risk,5,24.3,100.2,Inactive,25.05,Low Value,No,Medium,SMS Reminder
6728-DKUCO,0.0724,Low Risk,72,104.15,7303.05,Champions,7303.05,Premium,No,Low,No Action Needed
9750-BOOHV,0.1609,Low Risk,32,30.15,927.65,Inactive,386.52,Medium Value,No,Low,No Action Needed
8597-CWYHH,0.3279,Low Risk,43,94.35,3921.3,Champions,3267.75,Premium,No,Low,No Action Needed
2848-YXSMW,0.0089,Low Risk,72,19.4,1363.25,At Risk,681.62,Medium Value,No,Low,No Action Needed
0486-HECZI,0.5807,Medium Risk,55,96.75,5238.9,Champions,4365.75,Premium,Yes,High,Loyalty Reward
4549-ZDQYY,0.1293,Low Risk,52,57.95,3042.25,Loyal Customers,2028.17,High Value,No,Low,No Action Needed
5712-AHQNN,0.562,Medium Risk,43,91.65,3954.1,Champions,3295.08,Premium,No,High,Loyalty Reward
4846-WHAFZ,0.7607,High Risk,37,76.5,2868.15,Loyal Customers,1912.1,High Value,Yes,Critical,Personal Relationship Manager
5256-SKJGO,0.06,Low Risk,64,54.6,3423.5,Loyal Customers,2567.62,High Value,No,Low,No Action Needed
3071-VBYPO,0.6294,Medium Risk,3,89.85,248.4,At Risk,144.9,Low Value,No,Medium,SMS Reminder
9560-BBZXK,0.1013,Low Risk,36,31.05,1126.35,Inactive,469.31,Medium Value,No,Low,No Action Needed
5299-RULOA,0.8915,High Risk,10,100.25,1064.65,Loyal Customers,798.49,Medium Value,Yes,High,Discount Offer
8402-OOOHJ,0.02,Low Risk,41,20.65,835.15,Inactive,347.98,Medium Value,No,Low,No Action Needed
9445-ZUEQE,0.4657,Medium Risk,27,85.2,2151.6,Loyal Customers,1434.4,High Value,No,High,Loyalty Reward
1091-SOZGA,0.3753,Low Risk,56,99.8,5515.45,Champions,5055.83,Premium,No,Low,No Action Needed
2928-HLDBA,0.2264,Low Risk,6,20.7,112.75,Inactive,28.19,Low Value,No,Low,No Action Needed
0404-SWRVG,0.8846,High Risk,3,74.4,229.55,At Risk,114.78,Low Value,Yes,High,Email Campaign
6497-TILVL,0.3944,Low Risk,7,50.7,350.35,Inactive,145.98,Low Value,No,Low,No Action Needed
7219-TLZHO,0.2658,Low Risk,4,20.85,62.9,Inactive,15.72,Low Value,No,Low,No Action Needed
4622-YNKIJ,0.1215,Low Risk,33,88.95,3027.65,Loyal Customers,2270.74,High Value,No,Low,No Action Needed
4412-YLTKF,0.7244,High Risk,27,78.05,2135.5,At Risk,1245.71,High Value,Yes,Critical,Personal Relationship Manager
6734-PSBAW,0.0098,Low Risk,72,23.55,1723.95,At Risk,1005.64,High Value,No,Low,No Action Needed
3930-ZGWVE,0.602,Medium Risk,1,19.75,19.75,Inactive,4.94,Low Value,No,Medium,SMS Reminder
2639-UGMAZ,0.1432,Low Risk,71,56.45,3985.35,Loyal Customers,2989.01,High Value,No,Low,No Action Needed
2876-GZYZC,0.8203,High Risk,13,85.95,1215.65,At Risk,709.13,Medium Value,No,High,Discount Offer
6207-WIOLX,0.4738,Medium Risk,25,58.6,1502.65,At Risk,876.55,High Value,Yes,High,Loyalty Reward
8587-XYZSF,0.0371,Low Risk,67,50.55,3260.1,Loyal Customers,2173.4,High Value,No,Low,No Action Needed
3091-FYHKI,0.8944,High Risk,1,35.45,35.45,Inactive,8.86,Low Value,Yes,High,Email Campaign
2372-HWUHI,0.7465,High Risk,2,44.35,81.25,Inactive,27.08,Low Value,Yes,High,Email Campaign
7799-LGRDP,0.0622,Low Risk,43,25.7,1188.2,At Risk,594.1,Medium Value,No,Low,No Action Needed
7850-VWJUU,0.4404,Medium Risk,23,75.0,1778.5,At Risk,1037.46,High Value,No,High,Loyalty Reward
3774-VBNXY,0.0115,Low Risk,64,20.2,1277.75,At Risk,638.88,Medium Value,No,Low,No Action Needed
6217-KDYWC,0.0678,Low Risk,57,19.6,1170.55,At Risk,585.28,Medium Value,No,Low,No Action Needed
0390-DCFDQ,0.9149,High Risk,1,70.45,70.45,Inactive,29.35,Low Value,Yes,High,Email Campaign
3146-MSEGF,0.0505,Low Risk,72,88.05,6425.65,Champions,5890.18,Premium,No,Low,No Action Needed
4080-OGPJL,0.5385,Medium Risk,8,71.15,563.65,At Risk,328.8,Medium Value,Yes,Medium,SMS Reminder
1095-WGNGG,0.1857,Low Risk,61,101.05,5971.25,Champions,5473.65,Premium,No,Low,No Action Needed
2636-SJDOU,0.1133,Low Risk,64,84.3,5289.05,Champions,4407.54,Premium,No,Low,No Action Needed
1131-QQZEB,0.0123,Low Risk,71,23.95,1756.2,At Risk,1024.45,High Value,No,Low,No Action Needed
5716-EZXZN,0.1705,Low Risk,65,99.05,6416.7,Champions,6416.7,Premium,No,Low,No Action Needed
6837-BJYDQ,0.076,Low Risk,3,19.6,61.35,Inactive,15.34,Low Value,No,Low,No Action Needed
2135-RXIHG,0.8331,High Risk,1,45.65,45.65,Inactive,15.22,Low Value,Yes,High,Email Campaign
6440-DKQGE,0.1231,Low Risk,30,64.5,1929.95,Loyal Customers,1286.63,High Value,No,Low,No Action Needed
3466-BYAVD,0.2469,Low Risk,15,69.5,1071.4,At Risk,624.98,Medium Value,No,Low,No Action Needed
3780-YVMFA,0.4834,Medium Risk,8,68.55,564.35,At Risk,282.18,Medium Value,No,Medium,SMS Reminder
3874-EQOEP,0.9181,High Risk,7,95.0,655.5,Loyal Customers,437.0,Medium Value,Yes,High,Discount Offer
1679-JRFBR,0.1439,Low Risk,70,108.15,7930.55,Champions,7930.55,Premium,No,Low,No Action Needed
9073-ZZIAY,0.0222,Low Risk,62,86.1,5215.25,Champions,4780.65,Premium,No,Low,No Action Needed
3077-RSNTJ,0.2708,Low Risk,6,19.7,113.5,Inactive,28.38,Low Value,No,Low,No Action Needed
6551-GNYDG,0.7655,High Risk,14,80.9,1152.8,At Risk,672.47,Medium Value,No,High,Discount Offer
9167-APMXZ,0.6505,Medium Risk,22,84.15,1821.95,At Risk,1062.8,High Value,No,High,Loyalty Reward
2749-CTKAJ,0.0475,Low Risk,22,20.15,419.9,Inactive,139.97,Low Value,No,Low,No Action Needed
6371-NZYEG,0.052,Low Risk,16,64.25,1024.0,At Risk,597.33,Medium Value,No,Low,No Action Needed
7554-NEWDD,0.0977,Low Risk,10,25.7,251.6,Inactive,104.83,Low Value,No,Low,No Action Needed
8992-VONJD,0.4305,Medium Risk,13,56.0,764.55,At Risk,382.28,Medium Value,No,Medium,SMS Reminder
0867-MKZVY,0.6212,Medium Risk,20,82.4,1592.35,At Risk,928.87,High Value,Yes,High,Loyalty Reward
4482-EWFMI,0.823,High Risk,2,69.7,135.2,Inactive,45.07,Low Value,No,High,Email Campaign
4648-YPBTM,0.028,Low Risk,53,73.9,3958.25,Champions,3298.54,Premium,No,Low,No Action Needed
2907-ILJBN,0.0529,Low Risk,11,20.6,233.9,Inactive,77.97,Low Value,No,Low,No Action Needed
6345-FZOQH,0.01,Low Risk,69,19.9,1363.45,At Risk,681.72,Medium Value,No,Low,No Action Needed
3376-BMGFE,0.8071,High Risk,4,70.9,273.0,Inactive,113.75,Low Value,Yes,High,Email Campaign
5997-OPVFA,0.0173,Low Risk,72,89.05,6254.45,Champions,5733.25,Premium,No,Low,No Action Needed
3445-HXXGF,0.6722,Medium Risk,58,45.3,2651.2,Loyal Customers,1767.47,High Value,Yes,High,Loyalty Reward
1159-WFSGR,0.2183,Low Risk,16,20.4,321.4,Inactive,107.13,Low Value,No,Low,No Action Needed
7654-YWJUF,0.0638,Low Risk,43,84.25,3539.25,Loyal Customers,2654.44,High Value,No,Low,No Action Needed
1875-QIVME,0.9391,High Risk,2,104.4,242.8,Loyal Customers,182.1,Medium Value,Yes,High,Discount Offer
6727-IOTLZ,0.0531,Low Risk,14,81.95,1181.75,Loyal Customers,886.31,High Value,No,Low,No Action Needed
0691-JVSYA,0.3805,Low Risk,53,94.85,5000.2,Champions,4166.83,Premium,Yes,Low,No Action Needed
5918-VUKWP,0.0601,Low Risk,32,20.55,654.55,Inactive,272.73,Medium Value,No,Low,No Action Needed
1744-JHKYS,0.2079,Low Risk,34,24.7,780.2,At Risk,390.1,Medium Value,No,Low,No Action Needed
2656-FMOKZ,0.8152,High Risk,15,74.45,1145.7,At Risk,668.32,Medium Value,Yes,High,Discount Offer
2070-FNEXE,0.6646,Medium Risk,7,76.45,503.6,At Risk,251.8,Medium Value,Yes,Medium,SMS Reminder
5947-SGKCL,0.8556,High Risk,15,105.35,1559.25,Champions,1299.38,High Value,No,Critical,Personal Relationship Manager
3712-PKXZA,0.0314,Low Risk,61,20.55,1252.0,At Risk,626.0,Medium Value,No,Low,No Action Needed
6317-YPKDH,0.7412,High Risk,1,29.95,29.95,Inactive,7.49,Low Value,Yes,High,Email Campaign
6582-OIVSP,0.7469,High Risk,1,45.3,45.3,Inactive,15.1,Low Value,No,High,Email Campaign
9367-WXLCH,0.8924,High Risk,8,84.5,662.65,At Risk,331.32,Medium Value,Yes,High,Discount Offer
5524-KHNJP,0.2602,Low Risk,33,74.75,2453.3,Loyal Customers,1839.98,High Value,No,Low,No Action Needed
1918-ZBFQJ,0.7782,High Risk,13,79.25,1111.65,At Risk,648.46,Medium Value,Yes,High,Discount Offer
1024-GUALD,0.8736,High Risk,1,24.8,24.8,Inactive,6.2,Low Value,Yes,High,Email Campaign
4827-USJHP,0.3224,Low Risk,20,51.8,1023.85,At Risk,511.92,Medium Value,No,Low,No Action Needed
8167-GJLRN,0.6575,Medium Risk,3,30.4,82.15,Inactive,20.54,Low Value,No,Medium,SMS Reminder
0956-SYCWG,0.0797,Low Risk,13,19.65,244.8,Inactive,81.6,Low Value,No,Low,No Action Needed
8017-UVSZU,0.2726,Low Risk,40,56.6,2379.1,At Risk,1387.81,High Value,No,Low,No Action Needed
7100-FQPRV,0.2151,Low Risk,43,71.9,3173.35,Loyal Customers,2380.01,High Value,No,Low,No Action Needed
2472-OVKUP,0.8405,High Risk,6,91.0,531.0,Loyal Customers,354.0,Medium Value,Yes,High,Discount Offer
2984-RGEYA,0.0257,Low Risk,69,19.75,1375.4,At Risk,687.7,Medium Value,No,Low,No Action Needed
9680-NIAUV,0.0119,Low Risk,72,109.7,8129.3,Champions,8129.3,Premium,No,Low,No Action Needed
2146-EGVDT,0.0312,Low Risk,59,19.3,1192.7,At Risk,596.35,Medium Value,No,Low,No Action Needed
2604-IJPDU,0.7356,High Risk,20,96.55,1901.65,Loyal Customers,1426.24,High Value,No,Critical,Personal Relationship Manager
9178-JHUVJ,0.0684,Low Risk,24,24.1,587.4,Inactive,244.75,Medium Value,No,Low,No Action Needed
6168-YBYNP,0.6601,Medium Risk,59,111.35,6519.75,Champions,6519.75,Premium,No,High,Loyalty Reward
7255-SSFBC,0.0586,Low Risk,72,112.25,8041.65,Champions,8041.65,Premium,No,Low,No Action Needed
3645-DEYGF,0.5445,Medium Risk,1,20.75,20.75,Inactive,5.19,Low Value,No,Medium,SMS Reminder
9323-HGFWY,0.4336,Medium Risk,27,101.9,2681.15,Loyal Customers,2010.86,High Value,No,High,Loyalty Reward
8544-GOQSH,0.6841,Medium Risk,14,80.05,1112.3,At Risk,648.84,Medium Value,No,Medium,SMS Reminder
3363-DTIVD,0.1509,Low Risk,71,105.55,7405.5,Champions,7405.5,Premium,No,Low,No Action Needed
7018-WBJNK,0.6834,Medium Risk,13,78.3,1033.95,At Risk,603.14,Medium Value,No,Medium,SMS Reminder
9142-KZXOP,0.4662,Medium Risk,44,68.85,2958.95,At Risk,1479.48,High Value,No,High,Loyalty Reward
7674-YTAFD,0.0917,Low Risk,33,79.95,2684.85,Loyal Customers,1789.9,High Value,No,Low,No Action Needed
6348-SNFUS,0.0105,Low Risk,72,55.45,4179.2,Loyal Customers,3134.4,Premium,No,Low,No Action Needed
1285-OKIPP,0.9137,High Risk,1,79.9,79.9,At Risk,39.95,Low Value,Yes,High,Email Campaign
7825-ECJRF,0.7817,High Risk,19,106.6,1934.45,Champions,1612.04,High Value,Yes,Critical,Personal Relationship Manager
1347-KTTTA,0.2523,Low Risk,64,102.45,6654.1,Champions,6654.1,Premium,No,Low,No Action Needed
7841-TZDMQ,0.7097,High Risk,2,46.0,84.5,Inactive,28.17,Low Value,Yes,High,Email Campaign
4195-NZGTA,0.8252,High Risk,1,25.25,25.25,Inactive,6.31,Low Value,No,High,Email Campaign
7157-SMCFK,0.0612,Low Risk,61,19.75,1124.2,At Risk,562.1,Medium Value,No,Low,No Action Needed
4709-LKHYG,0.0566,Low Risk,29,20.0,540.05,Inactive,180.02,Medium Value,No,Low,No Action Needed
2504-DSHIH,0.6212,Medium Risk,23,86.8,1975.85,At Risk,1152.58,High Value,No,High,Loyalty Reward
0699-NDKJM,0.2651,Low Risk,57,58.75,3437.45,Loyal Customers,2578.09,High Value,No,Low,No Action Needed
9286-BHDQG,0.0221,Low Risk,72,45.25,3139.8,Loyal Customers,2354.85,High Value,No,Low,No Action Needed
0230-WEQUW,0.0215,Low Risk,66,56.6,3789.2,Loyal Customers,2841.9,High Value,No,Low,No Action Needed
2040-LDIWQ,0.047,Low Risk,65,84.2,5324.5,Champions,4880.79,Premium,No,Low,No Action Needed
6496-JDSSB,0.7981,High Risk,8,80.0,624.6,At Risk,312.3,Medium Value,No,High,Discount Offer
9408-SSNVZ,0.8351,High Risk,4,70.15,268.35,Inactive,89.45,Low Value,Yes,High,Email Campaign
4443-EMBNA,0.0108,Low Risk,71,24.75,1836.9,At Risk,1071.53,High Value,No,Low,No Action Needed
6469-MRVET,0.1572,Low Risk,1,20.2,20.2,Inactive,5.05,Low Value,No,Low,No Action Needed
0742-MOABM,0.5183,Medium Risk,4,50.05,179.35,Inactive,74.73,Low Value,Yes,Medium,SMS Reminder
5961-VUSRV,0.1298,Low Risk,12,19.35,219.35,Inactive,73.12,Low Value,No,Low,No Action Needed
6778-JFCMK,0.214,Low Risk,24,50.6,1288.75,At Risk,644.38,Medium Value,No,Low,No Action Needed
6341-JVQGF,0.2314,Low Risk,31,81.15,2545.75,Champions,2121.46,High Value,No,Low,No Action Needed
2232-DMLXU,0.8058,High Risk,1,55.2,55.2,Inactive,23.0,Low Value,Yes,High,Email Campaign
4811-JBUVU,0.5344,Medium Risk,30,89.9,2723.15,Champions,2269.29,High Value,No,High,Loyalty Reward
0945-TSONX,0.0452,Low Risk,47,85.3,4107.25,Champions,3422.71,Premium,No,Low,No Action Needed
2651-ZCBXV,0.3088,Low Risk,54,108.0,5760.65,Champions,5280.6,Premium,No,Low,No Action Needed
3316-UWXUY,0.3114,Low Risk,50,93.5,4747.5,Champions,3956.25,Premium,No,Low,No Action Needed
8937-RDTHP,0.8767,High Risk,1,84.6,84.6,At Risk,42.3,Low Value,Yes,High,Email Campaign
7083-MIOPC,0.0055,Low Risk,72,20.25,1566.9,At Risk,783.45,Medium Value,No,Low,No Action Needed
1984-GPTEH,0.2736,Low Risk,29,25.15,702.0,Inactive,292.5,Medium Value,No,Low,No Action Needed
1251-KRREG,0.7573,High Risk,2,54.4,114.1,Inactive,47.54,Low Value,Yes,High,Email Campaign
0621-JFHOL,0.1012,Low Risk,10,29.6,299.05,Inactive,99.68,Low Value,No,Low,No Action Needed
9903-LYSAB,0.7777,High Risk,18,73.15,1305.95,At Risk,761.8,Medium Value,No,High,Discount Offer
