customerID,Churn_Probability,Risk_Label,tenure,MonthlyCharges,TotalCharges,Segment,CLV_Enhanced,CLV_Tier,Churn,Priority,Retention_Strategy,Revenue_at_Risk
5948-UJZLF,0.6312,Medium Risk,2,49.25,97.0,Inactive,40.42,Low Value,No,Medium,SMS Reminder,25.51
7760-OYPDY,0.864,High Risk,2,80.65,144.15,At Risk,72.08,Low Value,Yes,High,Email Campaign,62.28
7639-LIAYI,0.0572,Low Risk,52,79.75,4217.8,Champions,3514.83,Premium,No,Low,No Action Needed,201.05
2954-PIBKO,0.072,Low Risk,69,64.15,4254.1,Loyal Customers,3190.58,Premium,No,Low,No Action Needed,229.72
8012-SOUDQ,0.6736,Medium Risk,43,90.25,3838.75,Champions,3198.96,Premium,No,High,Loyalty Reward,2154.82
9420-LOJKX,0.7991,High Risk,15,99.1,1426.4,Loyal Customers,1069.8,High Value,Yes,Critical,Personal Relationship Manager,854.88
6575-SUVOI,0.2432,Low Risk,25,69.5,1752.65,At Risk,1022.38,High Value,No,Low,No Action Needed,248.64
7495-OOKFY,0.8664,High Risk,8,80.65,633.3,At Risk,316.65,Medium Value,Yes,High,Discount Offer,274.35
4667-QONEA,0.1287,Low Risk,60,74.85,4456.35,Champions,4084.99,Premium,No,Low,No Action Needed,525.74
1658-BYGOY,0.8525,High Risk,18,95.45,1752.55,Loyal Customers,1314.41,High Value,Yes,Critical,Personal Relationship Manager,1120.53
8769-KKTPH,0.2943,Low Risk,63,99.65,6311.2,Champions,5785.27,Premium,No,Low,No Action Needed,1702.6
5067-XJQFU,0.4782,Medium Risk,66,108.45,7076.35,Champions,7076.35,Premium,No,High,Loyalty Reward,3383.91
3957-SQXML,0.0377,Low Risk,34,24.95,894.3,At Risk,447.15,Medium Value,No,Low,No Action Needed,16.86
5954-BDFSG,0.0921,Low Risk,72,107.5,7853.7,Champions,7853.7,Premium,No,Low,No Action Needed,723.33
0434-CSFON,0.7613,High Risk,47,100.5,4707.1,Champions,3922.58,Premium,No,Critical,Personal Relationship Manager,2986.26
1215-FIGMP,0.3676,Low Risk,60,89.9,5450.7,Champions,4996.47,Premium,No,Low,No Action Needed,1836.7
0526-SXDJP,0.0155,Low Risk,72,42.1,2962.0,Loyal Customers,1974.67,High Value,No,Low,No Action Needed,30.61
0557-ASKVU,0.141,Low Risk,18,54.4,957.1,At Risk,478.55,Medium Value,No,Low,No Action Needed,67.48
5698-BQJOH,0.8727,High Risk,9,94.4,857.25,Loyal Customers,571.5,Medium Value,Yes,High,Discount Offer,498.75
5122-CYFXA,0.6914,Medium Risk,3,75.3,244.1,At Risk,142.39,Low Value,No,Medium,SMS Reminder,98.45
8627-ZYGSZ,0.1931,Low Risk,47,78.9,3650.35,Loyal Customers,2433.57,High Value,No,Low,No Action Needed,469.92
3410-YOQBQ,0.068,Low Risk,31,79.2,2497.2,Champions,2081.0,High Value,No,Low,No Action Needed,141.51
3170-NMYVV,0.0313,Low Risk,50,20.15,930.9,Inactive,387.88,Medium Value,No,Low,No Action Needed,12.14
7410-OIEDU,0.6591,Medium Risk,10,79.85,887.35,At Risk,517.62,Medium Value,No,Medium,SMS Reminder,341.16
2273-QCKXA,0.6551,Medium Risk,1,49.05,49.05,Inactive,20.44,Low Value,No,Medium,SMS Reminder,13.39
0731-EBJQB,0.0514,Low Risk,52,20.4,1090.65,Inactive,454.44,Medium Value,No,Low,No Action Needed,23.36
1891-QRQSA,0.1321,Low Risk,64,111.6,7099.0,Champions,7099.0,Premium,No,Low,No Action Needed,937.78
8028-PNXHQ,0.0169,Low Risk,62,24.25,1424.6,At Risk,831.02,High Value,No,Low,No Action Needed,14.04
5630-AHZIL,0.6465,Medium Risk,3,64.5,177.4,At Risk,88.7,Low Value,No,Medium,SMS Reminder,57.34
2673-CXQEU,0.3259,Low Risk,56,110.5,6139.5,Champions,6139.5,Premium,No,Low,No Action Needed,2000.86
6416-JNVRK,0.1926,Low Risk,46,55.65,2688.85,At Risk,1568.5,High Value,No,Low,No Action Needed,302.09
5590-ZSKRV,0.259,Low Risk,8,54.65,482.25,Inactive,200.94,Medium Value,No,Low,No Action Needed,52.04
0191-ZHSKZ,0.3371,Low Risk,30,74.75,2111.3,Loyal Customers,1583.48,High Value,No,Low,No Action Needed,533.79
3887-PBQAO,0.0556,Low Risk,45,25.9,1216.6,At Risk,608.3,Medium Value,No,Low,No Action Needed,33.82
5919-TMRGD,0.925,High Risk,1,79.35,79.35,At Risk,39.67,Low Value,Yes,High,Email Campaign,36.69
8108-UXRQN,0.4813,Medium Risk,11,50.55,565.35,At Risk,282.68,Medium Value,No,Medium,SMS Reminder,136.05
9191-MYQKX,0.7396,High Risk,7,75.15,496.9,At Risk,248.45,Medium Value,Yes,High,Discount Offer,183.75
9919-YLNNG,0.5892,Medium Risk,42,103.8,4327.5,Champions,3966.88,Premium,No,High,Loyalty Reward,2337.29
0318-ZOPWS,0.0284,Low Risk,49,20.15,973.35,Inactive,405.56,Medium Value,No,Low,No Action Needed,11.52
4445-ZJNMU,0.9252,High Risk,9,99.3,918.75,Loyal Customers,612.5,Medium Value,No,High,Discount Offer,566.69
4808-YNLEU,0.0942,Low Risk,35,62.15,2215.45,At Risk,1292.35,High Value,No,Low,No Action Needed,121.74
1862-QRWPE,0.0365,Low Risk,48,20.65,1057.0,Inactive,440.42,Medium Value,No,Low,No Action Needed,16.08
2796-NNUFI,0.0235,Low Risk,46,19.95,927.1,Inactive,386.29,Medium Value,No,Low,No Action Needed,9.08
3016-KSVCP,0.4443,Medium Risk,29,33.75,1009.25,Inactive,336.42,Medium Value,No,Medium,SMS Reminder,149.47
4767-HZZHQ,0.4234,Medium Risk,30,82.05,2570.2,Loyal Customers,1713.47,High Value,No,High,Loyalty Reward,725.48
2424-WVHPL,0.7172,High Risk,1,74.7,74.7,At Risk,37.35,Low Value,No,High,Email Campaign,26.79
7233-PAHHL,0.0245,Low Risk,66,84.0,5714.25,Champions,5238.06,Premium,No,Low,No Action Needed,128.33
6067-NGCEU,0.2806,Low Risk,65,111.05,7107.0,Champions,7107.0,Premium,No,Low,No Action Needed,1994.22
9848-JQJTX,0.1715,Low Risk,72,100.9,7459.05,Champions,7459.05,Premium,No,Low,No Action Needed,1279.23
8637-XJIVR,0.7179,High Risk,12,78.95,927.35,At Risk,540.95,Medium Value,Yes,High,Discount Offer,388.35
9803-FTJCG,0.0306,Low Risk,71,66.85,4748.7,Loyal Customers,3561.52,Premium,No,Low,No Action Needed,108.98
0278-YXOOG,0.3547,Low Risk,5,21.05,113.85,Inactive,28.46,Low Value,Yes,Low,No Action Needed,10.09
3212-KXOCR,0.0576,Low Risk,52,21.0,1107.2,Inactive,461.33,Medium Value,No,Low,No Action Needed,26.57
4598-XLKNJ,0.8319,High Risk,25,98.5,2514.5,Loyal Customers,1885.88,High Value,Yes,Critical,Personal Relationship Manager,1568.86
6380-ARCEH,0.5606,Medium Risk,1,20.2,20.2,Inactive,5.05,Low Value,No,Medium,SMS Reminder,2.83
3679-XASPY,0.6094,Medium Risk,1,19.45,19.45,Inactive,4.86,Low Value,No,Medium,SMS Reminder,2.96
7123-WQUHX,0.1424,Low Risk,38,95.0,3605.6,Champions,3004.67,High Value,No,Low,No Action Needed,427.87
5386-THSLQ,0.1479,Low Risk,66,45.55,3027.25,Loyal Customers,2018.17,High Value,No,Low,No Action Needed,298.49
3192-NQECA,0.5339,Medium Risk,68,110.0,7611.85,Champions,7611.85,Premium,Yes,High,Loyalty Reward,4063.97
6180-YBIQI,0.6682,Medium Risk,5,24.3,100.2,Inactive,25.05,Low Value,No,Medium,SMS Reminder,16.74
6728-DKUCO,0.0724,Low Risk,72,104.15,7303.05,Champions,7303.05,Premium,No,Low,No Action Needed,528.74
9750-BOOHV,0.1609,Low Risk,32,30.15,927.65,Inactive,386.52,Medium Value,No,Low,No Action Needed,62.19
8597-CWYHH,0.3279,Low Risk,43,94.35,3921.3,Champions,3267.75,Premium,No,Low,No Action Needed,1071.5
2848-YXSMW,0.0089,Low Risk,72,19.4,1363.25,At Risk,681.62,Medium Value,No,Low,No Action Needed,6.07
0486-HECZI,0.5807,Medium Risk,55,96.75,5238.9,Champions,4365.75,Premium,Yes,High,Loyalty Reward,2535.19
4549-ZDQYY,0.1293,Low Risk,52,57.95,3042.25,Loyal Customers,2028.17,High Value,No,Low,No Action Needed,262.24
5712-AHQNN,0.562,Medium Risk,43,91.65,3954.1,Champions,3295.08,Premium,No,High,Loyalty Reward,1851.83
4846-WHAFZ,0.7607,High Risk,37,76.5,2868.15,Loyal Customers,1912.1,High Value,Yes,Critical,Personal Relationship Manager,1454.53
5256-SKJGO,0.06,Low Risk,64,54.6,3423.5,Loyal Customers,2567.62,High Value,No,Low,No Action Needed,154.06
3071-VBYPO,0.6294,Medium Risk,3,89.85,248.4,At Risk,144.9,Low Value,No,Medium,SMS Reminder,91.2
9560-BBZXK,0.1013,Low Risk,36,31.05,1126.35,Inactive,469.31,Medium Value,No,Low,No Action Needed,47.54
5299-RULOA,0.8915,High Risk,10,100.25,1064.65,Loyal Customers,798.49,Medium Value,Yes,High,Discount Offer,711.85
8402-OOOHJ,0.02,Low Risk,41,20.65,835.15,Inactive,347.98,Medium Value,No,Low,No Action Needed,6.96
9445-ZUEQE,0.4657,Medium Risk,27,85.2,2151.6,Loyal Customers,1434.4,High Value,No,High,Loyalty Reward,668.0
1091-SOZGA,0.3753,Low Risk,56,99.8,5515.45,Champions,5055.83,Premium,No,Low,No Action Needed,1897.45
2928-HLDBA,0.2264,Low Risk,6,20.7,112.75,Inactive,28.19,Low Value,No,Low,No Action Needed,6.38
0404-SWRVG,0.8846,High Risk,3,74.4,229.55,At Risk,114.78,Low Value,Yes,High,Email Campaign,101.53
6497-TILVL,0.3944,Low Risk,7,50.7,350.35,Inactive,145.98,Low Value,No,Low,No Action Needed,57.57
7219-TLZHO,0.2658,Low Risk,4,20.85,62.9,Inactive,15.72,Low Value,No,Low,No Action Needed,4.18
4622-YNKIJ,0.1215,Low Risk,33,88.95,3027.65,Loyal Customers,2270.74,High Value,No,Low,No Action Needed,275.89
4412-YLTKF,0.7244,High Risk,27,78.05,2135.5,At Risk,1245.71,High Value,Yes,Critical,Personal Relationship Manager,902.39
6734-PSBAW,0.0098,Low Risk,72,23.55,1723.95,At Risk,1005.64,High Value,No,Low,No Action Needed,9.86
3930-ZGWVE,0.602,Medium Risk,1,19.75,19.75,Inactive,4.94,Low Value,No,Medium,SMS Reminder,2.97
2639-UGMAZ,0.1432,Low Risk,71,56.45,3985.35,Loyal Customers,2989.01,High Value,No,Low,No Action Needed,428.03
2876-GZYZC,0.8203,High Risk,13,85.95,1215.65,At Risk,709.13,Medium Value,No,High,Discount Offer,581.7
6207-WIOLX,0.4738,Medium Risk,25,58.6,1502.65,At Risk,876.55,High Value,Yes,High,Loyalty Reward,415.31
8587-XYZSF,0.0371,Low Risk,67,50.55,3260.1,Loyal Customers,2173.4,High Value,No,Low,No Action Needed,80.63
3091-FYHKI,0.8944,High Risk,1,35.45,35.45,Inactive,8.86,Low Value,Yes,High,Email Campaign,7.92
2372-HWUHI,0.7465,High Risk,2,44.35,81.25,Inactive,27.08,Low Value,Yes,High,Email Campaign,20.22
7799-LGRDP,0.0622,Low Risk,43,25.7,1188.2,At Risk,594.1,Medium Value,No,Low,No Action Needed,36.95
7850-VWJUU,0.4404,Medium Risk,23,75.0,1778.5,At Risk,1037.46,High Value,No,High,Loyalty Reward,456.9
3774-VBNXY,0.0115,Low Risk,64,20.2,1277.75,At Risk,638.88,Medium Value,No,Low,No Action Needed,7.35
6217-KDYWC,0.0678,Low Risk,57,19.6,1170.55,At Risk,585.28,Medium Value,No,Low,No Action Needed,39.68
0390-DCFDQ,0.9149,High Risk,1,70.45,70.45,Inactive,29.35,Low Value,Yes,High,Email Campaign,26.85
3146-MSEGF,0.0505,Low Risk,72,88.05,6425.65,Champions,5890.18,Premium,No,Low,No Action Needed,297.45
4080-OGPJL,0.5385,Medium Risk,8,71.15,563.65,At Risk,328.8,Medium Value,Yes,Medium,SMS Reminder,177.06
1095-WGNGG,0.1857,Low Risk,61,101.05,5971.25,Champions,5473.65,Premium,No,Low,No Action Needed,1016.46
2636-SJDOU,0.1133,Low Risk,64,84.3,5289.05,Champions,4407.54,Premium,No,Low,No Action Needed,499.37
1131-QQZEB,0.0123,Low Risk,71,23.95,1756.2,At Risk,1024.45,High Value,No,Low,No Action Needed,12.6
5716-EZXZN,0.1705,Low Risk,65,99.05,6416.7,Champions,6416.7,Premium,No,Low,No Action Needed,1094.05
6837-BJYDQ,0.076,Low Risk,3,19.6,61.35,Inactive,15.34,Low Value,No,Low,No Action Needed,1.17
2135-RXIHG,0.8331,High Risk,1,45.65,45.65,Inactive,15.22,Low Value,Yes,High,Email Campaign,12.68
6440-DKQGE,0.1231,Low Risk,30,64.5,1929.95,Loyal Customers,1286.63,High Value,No,Low,No Action Needed,158.38
3466-BYAVD,0.2469,Low Risk,15,69.5,1071.4,At Risk,624.98,Medium Value,No,Low,No Action Needed,154.31
3780-YVMFA,0.4834,Medium Risk,8,68.55,564.35,At Risk,282.18,Medium Value,No,Medium,SMS Reminder,136.41
3874-EQOEP,0.9181,High Risk,7,95.0,655.5,Loyal Customers,437.0,Medium Value,Yes,High,Discount Offer,401.21
1679-JRFBR,0.1439,Low Risk,70,108.15,7930.55,Champions,7930.55,Premium,No,Low,No Action Needed,1141.21
9073-ZZIAY,0.0222,Low Risk,62,86.1,5215.25,Champions,4780.65,Premium,No,Low,No Action Needed,106.13
3077-RSNTJ,0.2708,Low Risk,6,19.7,113.5,Inactive,28.38,Low Value,No,Low,No Action Needed,7.69
6551-GNYDG,0.7655,High Risk,14,80.9,1152.8,At Risk,672.47,Medium Value,No,High,Discount Offer,514.78
9167-APMXZ,0.6505,Medium Risk,22,84.15,1821.95,At Risk,1062.8,High Value,No,High,Loyalty Reward,691.35
2749-CTKAJ,0.0475,Low Risk,22,20.15,419.9,Inactive,139.97,Low Value,No,Low,No Action Needed,6.65
6371-NZYEG,0.052,Low Risk,16,64.25,1024.0,At Risk,597.33,Medium Value,No,Low,No Action Needed,31.06
7554-NEWDD,0.0977,Low Risk,10,25.7,251.6,Inactive,104.83,Low Value,No,Low,No Action Needed,10.24
8992-VONJD,0.4305,Medium Risk,13,56.0,764.55,At Risk,382.28,Medium Value,No,Medium,SMS Reminder,164.57
0867-MKZVY,0.6212,Medium Risk,20,82.4,1592.35,At Risk,928.87,High Value,Yes,High,Loyalty Reward,577.01
4482-EWFMI,0.823,High Risk,2,69.7,135.2,Inactive,45.07,Low Value,No,High,Email Campaign,37.09
4648-YPBTM,0.028,Low Risk,53,73.9,3958.25,Champions,3298.54,Premium,No,Low,No Action Needed,92.36
2907-ILJBN,0.0529,Low Risk,11,20.6,233.9,Inactive,77.97,Low Value,No,Low,No Action Needed,4.12
6345-FZOQH,0.01,Low Risk,69,19.9,1363.45,At Risk,681.72,Medium Value,No,Low,No Action Needed,6.82
3376-BMGFE,0.8071,High Risk,4,70.9,273.0,Inactive,113.75,Low Value,Yes,High,Email Campaign,91.81
5997-OPVFA,0.0173,Low Risk,72,89.05,6254.45,Champions,5733.25,Premium,No,Low,No Action Needed,99.19
3445-HXXGF,0.6722,Medium Risk,58,45.3,2651.2,Loyal Customers,1767.47,High Value,Yes,High,Loyalty Reward,1188.09
1159-WFSGR,0.2183,Low Risk,16,20.4,321.4,Inactive,107.13,Low Value,No,Low,No Action Needed,23.39
7654-YWJUF,0.0638,Low Risk,43,84.25,3539.25,Loyal Customers,2654.44,High Value,No,Low,No Action Needed,169.35
1875-QIVME,0.9391,High Risk,2,104.4,242.8,Loyal Customers,182.1,Medium Value,Yes,High,Discount Offer,171.01
6727-IOTLZ,0.0531,Low Risk,14,81.95,1181.75,Loyal Customers,886.31,High Value,No,Low,No Action Needed,47.06
0691-JVSYA,0.3805,Low Risk,53,94.85,5000.2,Champions,4166.83,Premium,Yes,Low,No Action Needed,1585.48
5918-VUKWP,0.0601,Low Risk,32,20.55,654.55,Inactive,272.73,Medium Value,No,Low,No Action Needed,16.39
1744-JHKYS,0.2079,Low Risk,34,24.7,780.2,At Risk,390.1,Medium Value,No,Low,No Action Needed,81.1
2656-FMOKZ,0.8152,High Risk,15,74.45,1145.7,At Risk,668.32,Medium Value,Yes,High,Discount Offer,544.81
2070-FNEXE,0.6646,Medium Risk,7,76.45,503.6,At Risk,251.8,Medium Value,Yes,Medium,SMS Reminder,167.35
5947-SGKCL,0.8556,High Risk,15,105.35,1559.25,Champions,1299.38,High Value,No,Critical,Personal Relationship Manager,1111.75
3712-PKXZA,0.0314,Low Risk,61,20.55,1252.0,At Risk,626.0,Medium Value,No,Low,No Action Needed,19.66
6317-YPKDH,0.7412,High Risk,1,29.95,29.95,Inactive,7.49,Low Value,Yes,High,Email Campaign,5.55
6582-OIVSP,0.7469,High Risk,1,45.3,45.3,Inactive,15.1,Low Value,No,High,Email Campaign,11.28
9367-WXLCH,0.8924,High Risk,8,84.5,662.65,At Risk,331.32,Medium Value,Yes,High,Discount Offer,295.67
5524-KHNJP,0.2602,Low Risk,33,74.75,2453.3,Loyal Customers,1839.98,High Value,No,Low,No Action Needed,478.76
1918-ZBFQJ,0.7782,High Risk,13,79.25,1111.65,At Risk,648.46,Medium Value,Yes,High,Discount Offer,504.63
1024-GUALD,0.8736,High Risk,1,24.8,24.8,Inactive,6.2,Low Value,Yes,High,Email Campaign,5.42
4827-USJHP,0.3224,Low Risk,20,51.8,1023.85,At Risk,511.92,Medium Value,No,Low,No Action Needed,165.04
8167-GJLRN,0.6575,Medium Risk,3,30.4,82.15,Inactive,20.54,Low Value,No,Medium,SMS Reminder,13.51
0956-SYCWG,0.0797,Low Risk,13,19.65,244.8,Inactive,81.6,Low Value,No,Low,No Action Needed,6.5
8017-UVSZU,0.2726,Low Risk,40,56.6,2379.1,At Risk,1387.81,High Value,No,Low,No Action Needed,378.32
7100-FQPRV,0.2151,Low Risk,43,71.9,3173.35,Loyal Customers,2380.01,High Value,No,Low,No Action Needed,511.94
2472-OVKUP,0.8405,High Risk,6,91.0,531.0,Loyal Customers,354.0,Medium Value,Yes,High,Discount Offer,297.54
2984-RGEYA,0.0257,Low Risk,69,19.75,1375.4,At Risk,687.7,Medium Value,No,Low,No Action Needed,17.67
9680-NIAUV,0.0119,Low Risk,72,109.7,8129.3,Champions,8129.3,Premium,No,Low,No Action Needed,96.74
2146-EGVDT,0.0312,Low Risk,59,19.3,1192.7,At Risk,596.35,Medium Value,No,Low,No Action Needed,18.61
2604-IJPDU,0.7356,High Risk,20,96.55,1901.65,Loyal Customers,1426.24,High Value,No,Critical,Personal Relationship Manager,1049.14
9178-JHUVJ,0.0684,Low Risk,24,24.1,587.4,Inactive,244.75,Medium Value,No,Low,No Action Needed,16.74
6168-YBYNP,0.6601,Medium Risk,59,111.35,6519.75,Champions,6519.75,Premium,No,High,Loyalty Reward,4303.69
7255-SSFBC,0.0586,Low Risk,72,112.25,8041.65,Champions,8041.65,Premium,No,Low,No Action Needed,471.24
3645-DEYGF,0.5445,Medium Risk,1,20.75,20.75,Inactive,5.19,Low Value,No,Medium,SMS Reminder,2.83
9323-HGFWY,0.4336,Medium Risk,27,101.9,2681.15,Loyal Customers,2010.86,High Value,No,High,Loyalty Reward,871.91
8544-GOQSH,0.6841,Medium Risk,14,80.05,1112.3,At Risk,648.84,Medium Value,No,Medium,SMS Reminder,443.87
3363-DTIVD,0.1509,Low Risk,71,105.55,7405.5,Champions,7405.5,Premium,No,Low,No Action Needed,1117.49
7018-WBJNK,0.6834,Medium Risk,13,78.3,1033.95,At Risk,603.14,Medium Value,No,Medium,SMS Reminder,412.19
9142-KZXOP,0.4662,Medium Risk,44,68.85,2958.95,At Risk,1479.48,High Value,No,High,Loyalty Reward,689.73
7674-YTAFD,0.0917,Low Risk,33,79.95,2684.85,Loyal Customers,1789.9,High Value,No,Low,No Action Needed,164.13
6348-SNFUS,0.0105,Low Risk,72,55.45,4179.2,Loyal Customers,3134.4,Premium,No,Low,No Action Needed,32.91
1285-OKIPP,0.9137,High Risk,1,79.9,79.9,At Risk,39.95,Low Value,Yes,High,Email Campaign,36.5
7825-ECJRF,0.7817,High Risk,19,106.6,1934.45,Champions,1612.04,High Value,Yes,Critical,Personal Relationship Manager,1260.13
1347-KTTTA,0.2523,Low Risk,64,102.45,6654.1,Champions,6654.1,Premium,No,Low,No Action Needed,1678.83
7841-TZDMQ,0.7097,High Risk,2,46.0,84.5,Inactive,28.17,Low Value,Yes,High,Email Campaign,19.99
4195-NZGTA,0.8252,High Risk,1,25.25,25.25,Inactive,6.31,Low Value,No,High,Email Campaign,5.21
7157-SMCFK,0.0612,Low Risk,61,19.75,1124.2,At Risk,562.1,Medium Value,No,Low,No Action Needed,34.4
4709-LKHYG,0.0566,Low Risk,29,20.0,540.05,Inactive,180.02,Medium Value,No,Low,No Action Needed,10.19
2504-DSHIH,0.6212,Medium Risk,23,86.8,1975.85,At Risk,1152.58,High Value,No,High,Loyalty Reward,715.98
0699-NDKJM,0.2651,Low Risk,57,58.75,3437.45,Loyal Customers,2578.09,High Value,No,Low,No Action Needed,683.45
9286-BHDQG,0.0221,Low Risk,72,45.25,3139.8,Loyal Customers,2354.85,High Value,No,Low,No Action Needed,52.04
0230-WEQUW,0.0215,Low Risk,66,56.6,3789.2,Loyal Customers,2841.9,High Value,No,Low,No Action Needed,61.1
2040-LDIWQ,0.047,Low Risk,65,84.2,5324.5,Champions,4880.79,Premium,No,Low,No Action Needed,229.4
6496-JDSSB,0.7981,High Risk,8,80.0,624.6,At Risk,312.3,Medium Value,No,High,Discount Offer,249.25
9408-SSNVZ,0.8351,High Risk,4,70.15,268.35,Inactive,89.45,Low Value,Yes,High,Email Campaign,74.7
