customerID,tenure,MonthlyCharges,TotalCharges,RFM_Score,Segment,CLV_Enhanced,CLV_Tier,Churn
4929-XIHVW,2,95.5,181.65,8,Loyal Customers,121.1,Low Value,No
6827-IEAUQ,27,66.15,1874.45,7,At Risk,1093.43,High Value,No
7310-EGVHZ,1,20.2,20.2,3,Inactive,5.05,Low Value,No
3413-BMNZE,1,45.25,45.25,4,Inactive,15.08,Low Value,No
6234-RAAPL,72,99.9,7251.7,12,Champions,7251.7,Premium,No
6047-YHPVI,5,69.7,316.9,4,Inactive,105.63,Low Value,Yes
6572-ADKRS,46,74.8,3548.3,8,Loyal Customers,2365.53,High Value,No
5380-WJKOV,34,106.35,3549.25,11,Champions,3253.48,Premium,Yes
8168-UQWWF,11,97.85,1105.4,9,Loyal Customers,829.05,High Value,Yes
8865-TNMNX,10,49.55,475.7,6,At Risk,237.85,Medium Value,No
9489-DEDVP,70,69.2,4872.35,9,Loyal Customers,3654.26,Premium,No
9867-JCZSP,17,20.75,418.25,4,Inactive,139.42,Low Value,No
4671-VJLCL,63,79.85,4861.45,11,Champions,4456.33,Premium,No
4080-IIARD,13,76.2,981.45,9,Loyal Customers,736.09,Medium Value,No
3714-NTNFO,49,84.5,3906.7,8,Loyal Customers,2604.47,High Value,No
5948-UJZLF,2,49.25,97.0,5,Inactive,40.42,Low Value,No
7760-OYPDY,2,80.65,144.15,6,At Risk,72.08,Low Value,Yes
7639-LIAYI,52,79.75,4217.8,10,Champions,3514.83,Premium,No
2954-PIBKO,69,64.15,4254.1,9,Loyal Customers,3190.58,Premium,No
8012-SOUDQ,43,90.25,3838.75,10,Champions,3198.96,Premium,No
9420-LOJKX,15,99.1,1426.4,9,Loyal Customers,1069.8,High Value,Yes
6575-SUVOI,25,69.5,1752.65,7,At Risk,1022.38,High Value,No
7495-OOKFY,8,80.65,633.3,6,At Risk,316.65,Medium Value,Yes
4667-QONEA,60,74.85,4456.35,11,Champions,4084.99,Premium,No
1658-BYGOY,18,95.45,1752.55,9,Loyal Customers,1314.41,High Value,Yes
8769-KKTPH,63,99.65,6311.2,11,Champions,5785.27,Premium,No
5067-XJQFU,66,108.45,7076.35,12,Champions,7076.35,Premium,No
3957-SQXML,34,24.95,894.3,6,At Risk,447.15,Medium Value,No
5954-BDFSG,72,107.5,7853.7,12,Champions,7853.7,Premium,No
0434-CSFON,47,100.5,4707.1,10,Champions,3922.58,Premium,No
1215-FIGMP,60,89.9,5450.7,11,Champions,4996.47,Premium,No
0526-SXDJP,72,42.1,2962.0,8,Loyal Customers,1974.67,High Value,No
0557-ASKVU,18,54.4,957.1,6,At Risk,478.55,Medium Value,No
5698-BQJOH,9,94.4,857.25,8,Loyal Customers,571.5,Medium Value,Yes
5122-CYFXA,3,75.3,244.1,7,At Risk,142.39,Low Value,No
8627-ZYGSZ,47,78.9,3650.35,8,Loyal Customers,2433.57,High Value,No
3410-YOQBQ,31,79.2,2497.2,10,Champions,2081.0,High Value,No
3170-NMYVV,50,20.15,930.9,5,Inactive,387.88,Medium Value,No
7410-OIEDU,10,79.85,887.35,7,At Risk,517.62,Medium Value,No
2273-QCKXA,1,49.05,49.05,5,Inactive,20.44,Low Value,No
0731-EBJQB,52,20.4,1090.65,5,Inactive,454.44,Medium Value,No
1891-QRQSA,64,111.6,7099.0,12,Champions,7099.0,Premium,No
8028-PNXHQ,62,24.25,1424.6,7,At Risk,831.02,High Value,No
5630-AHZIL,3,64.5,177.4,6,At Risk,88.7,Low Value,No
2673-CXQEU,56,110.5,6139.5,12,Champions,6139.5,Premium,No
6416-JNVRK,46,55.65,2688.85,7,At Risk,1568.5,High Value,No
5590-ZSKRV,8,54.65,482.25,5,Inactive,200.94,Medium Value,No
0191-ZHSKZ,30,74.75,2111.3,9,Loyal Customers,1583.48,High Value,No
3887-PBQAO,45,25.9,1216.6,6,At Risk,608.3,Medium Value,No
5919-TMRGD,1,79.35,79.35,6,At Risk,39.67,Low Value,Yes
8108-UXRQN,11,50.55,565.35,6,At Risk,282.68,Medium Value,No
9191-MYQKX,7,75.15,496.9,6,At Risk,248.45,Medium Value,Yes
9919-YLNNG,42,103.8,4327.5,11,Champions,3966.88,Premium,No
0318-ZOPWS,49,20.15,973.35,5,Inactive,405.56,Medium Value,No
4445-ZJNMU,9,99.3,918.75,8,Loyal Customers,612.5,Medium Value,No
4808-YNLEU,35,62.15,2215.45,7,At Risk,1292.35,High Value,No
1862-QRWPE,48,20.65,1057.0,5,Inactive,440.42,Medium Value,No
2796-NNUFI,46,19.95,927.1,5,Inactive,386.29,Medium Value,No
3016-KSVCP,29,33.75,1009.25,4,Inactive,336.42,Medium Value,No
4767-HZZHQ,30,82.05,2570.2,8,Loyal Customers,1713.47,High Value,No
2424-WVHPL,1,74.7,74.7,6,At Risk,37.35,Low Value,No
7233-PAHHL,66,84.0,5714.25,11,Champions,5238.06,Premium,No
6067-NGCEU,65,111.05,7107.0,12,Champions,7107.0,Premium,No
9848-JQJTX,72,100.9,7459.05,12,Champions,7459.05,Premium,No
8637-XJIVR,12,78.95,927.35,7,At Risk,540.95,Medium Value,Yes
9803-FTJCG,71,66.85,4748.7,9,Loyal Customers,3561.52,Premium,No
0278-YXOOG,5,21.05,113.85,3,Inactive,28.46,Low Value,Yes
3212-KXOCR,52,21.0,1107.2,5,Inactive,461.33,Medium Value,No
4598-XLKNJ,25,98.5,2514.5,9,Loyal Customers,1885.88,High Value,Yes
6380-ARCEH,1,20.2,20.2,3,Inactive,5.05,Low Value,No
3679-XASPY,1,19.45,19.45,3,Inactive,4.86,Low Value,No
7123-WQUHX,38,95.0,3605.6,10,Champions,3004.67,High Value,No
5386-THSLQ,66,45.55,3027.25,8,Loyal Customers,2018.17,High Value,No
3192-NQECA,68,110.0,7611.85,12,Champions,7611.85,Premium,Yes
6180-YBIQI,5,24.3,100.2,3,Inactive,25.05,Low Value,No
6728-DKUCO,72,104.15,7303.05,12,Champions,7303.05,Premium,No
9750-BOOHV,32,30.15,927.65,5,Inactive,386.52,Medium Value,No
8597-CWYHH,43,94.35,3921.3,10,Champions,3267.75,Premium,No
2848-YXSMW,72,19.4,1363.25,6,At Risk,681.62,Medium Value,No
0486-HECZI,55,96.75,5238.9,10,Champions,4365.75,Premium,Yes
4549-ZDQYY,52,57.95,3042.25,8,Loyal Customers,2028.17,High Value,No
5712-AHQNN,43,91.65,3954.1,10,Champions,3295.08,Premium,No
4846-WHAFZ,37,76.5,2868.15,8,Loyal Customers,1912.1,High Value,Yes
5256-SKJGO,64,54.6,3423.5,9,Loyal Customers,2567.62,High Value,No
3071-VBYPO,3,89.85,248.4,7,At Risk,144.9,Low Value,No
9560-BBZXK,36,31.05,1126.35,5,Inactive,469.31,Medium Value,No
5299-RULOA,10,100.25,1064.65,9,Loyal Customers,798.49,Medium Value,Yes
8402-OOOHJ,41,20.65,835.15,5,Inactive,347.98,Medium Value,No
9445-ZUEQE,27,85.2,2151.6,8,Loyal Customers,1434.4,High Value,No
1091-SOZGA,56,99.8,5515.45,11,Champions,5055.83,Premium,No
2928-HLDBA,6,20.7,112.75,3,Inactive,28.19,Low Value,No
0404-SWRVG,3,74.4,229.55,6,At Risk,114.78,Low Value,Yes
6497-TILVL,7,50.7,350.35,5,Inactive,145.98,Low Value,No
7219-TLZHO,4,20.85,62.9,3,Inactive,15.72,Low Value,No
4622-YNKIJ,33,88.95,3027.65,9,Loyal Customers,2270.74,High Value,No
4412-YLTKF,27,78.05,2135.5,7,At Risk,1245.71,High Value,Yes
6734-PSBAW,72,23.55,1723.95,7,At Risk,1005.64,High Value,No
3930-ZGWVE,1,19.75,19.75,3,Inactive,4.94,Low Value,No
2639-UGMAZ,71,56.45,3985.35,9,Loyal Customers,2989.01,High Value,No
2876-GZYZC,13,85.95,1215.65,7,At Risk,709.13,Medium Value,No
6207-WIOLX,25,58.6,1502.65,7,At Risk,876.55,High Value,Yes
8587-XYZSF,67,50.55,3260.1,8,Loyal Customers,2173.4,High Value,No
3091-FYHKI,1,35.45,35.45,3,Inactive,8.86,Low Value,Yes
2372-HWUHI,2,44.35,81.25,4,Inactive,27.08,Low Value,Yes
7799-LGRDP,43,25.7,1188.2,6,At Risk,594.1,Medium Value,No
7850-VWJUU,23,75.0,1778.5,7,At Risk,1037.46,High Value,No
3774-VBNXY,64,20.2,1277.75,6,At Risk,638.88,Medium Value,No
6217-KDYWC,57,19.6,1170.55,6,At Risk,585.28,Medium Value,No
0390-DCFDQ,1,70.45,70.45,5,Inactive,29.35,Low Value,Yes
3146-MSEGF,72,88.05,6425.65,11,Champions,5890.18,Premium,No
4080-OGPJL,8,71.15,563.65,7,At Risk,328.8,Medium Value,Yes
1095-WGNGG,61,101.05,5971.25,11,Champions,5473.65,Premium,No
2636-SJDOU,64,84.3,5289.05,10,Champions,4407.54,Premium,No
1131-QQZEB,71,23.95,1756.2,7,At Risk,1024.45,High Value,No
5716-EZXZN,65,99.05,6416.7,12,Champions,6416.7,Premium,No
6837-BJYDQ,3,19.6,61.35,3,Inactive,15.34,Low Value,No
2135-RXIHG,1,45.65,45.65,4,Inactive,15.22,Low Value,Yes
6440-DKQGE,30,64.5,1929.95,8,Loyal Customers,1286.63,High Value,No
3466-BYAVD,15,69.5,1071.4,7,At Risk,624.98,Medium Value,No
3780-YVMFA,8,68.55,564.35,6,At Risk,282.18,Medium Value,No
3874-EQOEP,7,95.0,655.5,8,Loyal Customers,437.0,Medium Value,Yes
1679-JRFBR,70,108.15,7930.55,12,Champions,7930.55,Premium,No
9073-ZZIAY,62,86.1,5215.25,11,Champions,4780.65,Premium,No
3077-RSNTJ,6,19.7,113.5,3,Inactive,28.38,Low Value,No
6551-GNYDG,14,80.9,1152.8,7,At Risk,672.47,Medium Value,No
9167-APMXZ,22,84.15,1821.95,7,At Risk,1062.8,High Value,No
2749-CTKAJ,22,20.15,419.9,4,Inactive,139.97,Low Value,No
6371-NZYEG,16,64.25,1024.0,7,At Risk,597.33,Medium Value,No
7554-NEWDD,10,25.7,251.6,5,Inactive,104.83,Low Value,No
8992-VONJD,13,56.0,764.55,6,At Risk,382.28,Medium Value,No
0867-MKZVY,20,82.4,1592.35,7,At Risk,928.87,High Value,Yes
4482-EWFMI,2,69.7,135.2,4,Inactive,45.07,Low Value,No
4648-YPBTM,53,73.9,3958.25,10,Champions,3298.54,Premium,No
2907-ILJBN,11,20.6,233.9,4,Inactive,77.97,Low Value,No
6345-FZOQH,69,19.9,1363.45,6,At Risk,681.72,Medium Value,No
3376-BMGFE,4,70.9,273.0,5,Inactive,113.75,Low Value,Yes
5997-OPVFA,72,89.05,6254.45,11,Champions,5733.25,Premium,No
3445-HXXGF,58,45.3,2651.2,8,Loyal Customers,1767.47,High Value,Yes
1159-WFSGR,16,20.4,321.4,4,Inactive,107.13,Low Value,No
7654-YWJUF,43,84.25,3539.25,9,Loyal Customers,2654.44,High Value,No
1875-QIVME,2,104.4,242.8,9,Loyal Customers,182.1,Medium Value,Yes
6727-IOTLZ,14,81.95,1181.75,9,Loyal Customers,886.31,High Value,No
0691-JVSYA,53,94.85,5000.2,10,Champions,4166.83,Premium,Yes
5918-VUKWP,32,20.55,654.55,5,Inactive,272.73,Medium Value,No
1744-JHKYS,34,24.7,780.2,6,At Risk,390.1,Medium Value,No
2656-FMOKZ,15,74.45,1145.7,7,At Risk,668.32,Medium Value,Yes
2070-FNEXE,7,76.45,503.6,6,At Risk,251.8,Medium Value,Yes
5947-SGKCL,15,105.35,1559.25,10,Champions,1299.38,High Value,No
3712-PKXZA,61,20.55,1252.0,6,At Risk,626.0,Medium Value,No
6317-YPKDH,1,29.95,29.95,3,Inactive,7.49,Low Value,Yes
6582-OIVSP,1,45.3,45.3,4,Inactive,15.1,Low Value,No
9367-WXLCH,8,84.5,662.65,6,At Risk,331.32,Medium Value,Yes
5524-KHNJP,33,74.75,2453.3,9,Loyal Customers,1839.98,High Value,No
1918-ZBFQJ,13,79.25,1111.65,7,At Risk,648.46,Medium Value,Yes
1024-GUALD,1,24.8,24.8,3,Inactive,6.2,Low Value,Yes
4827-USJHP,20,51.8,1023.85,6,At Risk,511.92,Medium Value,No
8167-GJLRN,3,30.4,82.15,3,Inactive,20.54,Low Value,No
0956-SYCWG,13,19.65,244.8,4,Inactive,81.6,Low Value,No
8017-UVSZU,40,56.6,2379.1,7,At Risk,1387.81,High Value,No
7100-FQPRV,43,71.9,3173.35,9,Loyal Customers,2380.01,High Value,No
2472-OVKUP,6,91.0,531.0,8,Loyal Customers,354.0,Medium Value,Yes
2984-RGEYA,69,19.75,1375.4,6,At Risk,687.7,Medium Value,No
9680-NIAUV,72,109.7,8129.3,12,Champions,8129.3,Premium,No
2146-EGVDT,59,19.3,1192.7,6,At Risk,596.35,Medium Value,No
2604-IJPDU,20,96.55,1901.65,9,Loyal Customers,1426.24,High Value,No
9178-JHUVJ,24,24.1,587.4,5,Inactive,244.75,Medium Value,No
6168-YBYNP,59,111.35,6519.75,12,Champions,6519.75,Premium,No
7255-SSFBC,72,112.25,8041.65,12,Champions,8041.65,Premium,No
3645-DEYGF,1,20.75,20.75,3,Inactive,5.19,Low Value,No
9323-HGFWY,27,101.9,2681.15,9,Loyal Customers,2010.86,High Value,No
8544-GOQSH,14,80.05,1112.3,7,At Risk,648.84,Medium Value,No
3363-DTIVD,71,105.55,7405.5,12,Champions,7405.5,Premium,No
7018-WBJNK,13,78.3,1033.95,7,At Risk,603.14,Medium Value,No
9142-KZXOP,44,68.85,2958.95,6,At Risk,1479.48,High Value,No
7674-YTAFD,33,79.95,2684.85,8,Loyal Customers,1789.9,High Value,No
6348-SNFUS,72,55.45,4179.2,9,Loyal Customers,3134.4,Premium,No
1285-OKIPP,1,79.9,79.9,6,At Risk,39.95,Low Value,Yes
7825-ECJRF,19,106.6,1934.45,10,Champions,1612.04,High Value,Yes
1347-KTTTA,64,102.45,6654.1,12,Champions,6654.1,Premium,No
7841-TZDMQ,2,46.0,84.5,4,Inactive,28.17,Low Value,Yes
4195-NZGTA,1,25.25,25.25,3,Inactive,6.31,Low Value,No
7157-SMCFK,61,19.75,1124.2,6,At Risk,562.1,Medium Value,No
4709-LKHYG,29,20.0,540.05,4,Inactive,180.02,Medium Value,No
2504-DSHIH,23,86.8,1975.85,7,At Risk,1152.58,High Value,No
0699-NDKJM,57,58.75,3437.45,9,Loyal Customers,2578.09,High Value,No
9286-BHDQG,72,45.25,3139.8,9,Loyal Customers,2354.85,High Value,No
0230-WEQUW,66,56.6,3789.2,9,Loyal Customers,2841.9,High Value,No
2040-LDIWQ,65,84.2,5324.5,11,Champions,4880.79,Premium,No
6496-JDSSB,8,80.0,624.6,6,At Risk,312.3,Medium Value,No
9408-SSNVZ,4,70.15,268.35,4,Inactive,89.45,Low Value,Yes
4443-EMBNA,71,24.75,1836.9,7,At Risk,1071.53,High Value,No
6469-MRVET,1,20.2,20.2,3,Inactive,5.05,Low Value,No
0742-MOABM,4,50.05,179.35,5,Inactive,74.73,Low Value,Yes
5961-VUSRV,12,19.35,219.35,4,Inactive,73.12,Low Value,No
6778-JFCMK,24,50.6,1288.75,6,At Risk,644.38,Medium Value,No
6341-JVQGF,31,81.15,2545.75,10,Champions,2121.46,High Value,No
2232-DMLXU,1,55.2,55.2,5,Inactive,23.0,Low Value,Yes
4811-JBUVU,30,89.9,2723.15,10,Champions,2269.29,High Value,No
0945-TSONX,47,85.3,4107.25,10,Champions,3422.71,Premium,No
2651-ZCBXV,54,108.0,5760.65,11,Champions,5280.6,Premium,No
3316-UWXUY,50,93.5,4747.5,10,Champions,3956.25,Premium,No
8937-RDTHP,1,84.6,84.6,6,At Risk,42.3,Low Value,Yes
7083-MIOPC,72,20.25,1566.9,6,At Risk,783.45,Medium Value,No
1984-GPTEH,29,25.15,702.0,5,Inactive,292.5,Medium Value,No
1251-KRREG,2,54.4,114.1,5,Inactive,47.54,Low Value,Yes
0621-JFHOL,10,29.6,299.05,4,Inactive,99.68,Low Value,No
9903-LYSAB,18,73.15,1305.95,7,At Risk,761.8,Medium Value,No
0094-OIFMO,11,95.0,1120.3,9,Loyal Customers,840.22,High Value,Yes
9227-UAQFT,16,19.75,284.35,4,Inactive,94.78,Low Value,No
7301-ABVAD,72,86.6,6350.5,11,Champions,5821.29,Premium,No
6614-FHDBO,72,109.2,7878.3,12,Champions,7878.3,Premium,No
7576-ASEJU,41,74.7,3187.65,9,Loyal Customers,2390.74,High Value,No
9058-HRZSV,65,94.4,6126.15,11,Champions,5615.64,Premium,No
4522-AKYLR,13,54.8,731.3,6,At Risk,365.65,Medium Value,No
0221-WMXNQ,4,75.35,273.4,6,At Risk,136.7,Low Value,No
0303-UNCIP,41,65.0,2531.8,8,Loyal Customers,1687.87,High Value,No
9947-OTFQU,15,74.4,1074.3,7,At Risk,626.68,Medium Value,Yes
0322-YINQP,1,48.55,48.55,5,Inactive,20.23,Low Value,Yes
0959-WHOKV,42,99.0,4298.45,11,Champions,3940.25,Premium,No
4075-JFPGR,51,93.5,4619.55,10,Champions,3849.63,Premium,No
4629-NRXKX,2,70.4,147.15,5,Inactive,61.31,Low Value,Yes
9514-JDSKI,1,40.2,40.2,5,Inactive,16.75,Low Value,Yes
3282-ZISZV,32,83.7,2633.3,10,Champions,2194.42,High Value,No
3675-YDUPJ,10,19.85,193.05,4,Inactive,64.35,Low Value,No
4111-BNXIF,67,59.55,4103.9,9,Loyal Customers,3077.92,Premium,No
7017-VFHAY,61,115.1,7008.15,12,Champions,7008.15,Premium,No
6655-LHBYW,50,114.35,5791.1,11,Champions,5308.51,Premium,No
4959-JOSRX,2,44.6,80.55,4,Inactive,26.85,Low Value,Yes
5046-NUHWD,29,45.0,1228.65,6,At Risk,614.33,Medium Value,No
7273-TEFQD,3,41.15,132.2,5,Inactive,55.08,Low Value,Yes
3606-TWKGI,13,106.9,1364.3,10,Champions,1136.92,High Value,Yes
7529-ZDFXI,57,89.85,4925.35,10,Champions,4104.46,Premium,No
7605-BDWDC,31,49.85,1520.1,8,Loyal Customers,1013.4,High Value,No
1950-KSVVJ,45,113.3,5032.25,11,Champions,4612.9,Premium,No
0123-CRBRT,61,88.1,5526.75,11,Champions,5066.19,Premium,No
6292-TOSSS,50,24.9,1195.25,6,At Risk,597.62,Medium Value,No
3197-ARFOY,19,105.0,2007.25,10,Champions,1672.71,High Value,No
6323-AYBRX,59,19.35,1099.6,6,At Risk,549.8,Medium Value,Yes
7014-ZZXAW,71,24.25,1732.95,7,At Risk,1010.89,High Value,No
4385-GZQXV,16,94.45,1511.2,9,Loyal Customers,1133.4,High Value,Yes
7633-MVPUY,57,59.75,3450.15,9,Loyal Customers,2587.61,High Value,No
6366-ZGQGL,1,24.8,24.8,3,Inactive,6.2,Low Value,Yes
4716-HHKQH,20,107.05,2172.05,10,Champions,1810.04,High Value,No
5940-AHUHD,1,70.6,70.6,5,Inactive,29.42,Low Value,Yes
6432-TWQLB,5,85.4,401.1,7,At Risk,233.98,Medium Value,Yes
4484-GLZOU,52,105.05,5624.85,11,Champions,5156.11,Premium,Yes
3179-GBRWV,21,64.95,1339.8,7,At Risk,781.55,Medium Value,No
8645-KWHJO,14,55.0,771.95,7,At Risk,450.3,Medium Value,No
4130-MZLCC,5,50.55,244.75,5,Inactive,101.98,Low Value,No
0314-TKOSI,6,55.15,322.9,5,Inactive,134.54,Low Value,No
8229-MYEJZ,10,51.2,498.25,6,At Risk,249.12,Medium Value,No
2080-SRCDE,1,25.4,25.4,4,Inactive,8.47,Low Value,No
9577-WJVCQ,68,54.45,3687.75,8,Loyal Customers,2458.5,High Value,No
9512-UIBFX,18,95.15,1779.95,9,Loyal Customers,1334.96,High Value,Yes
6202-DYYFX,22,76.0,1783.6,7,At Risk,1040.43,High Value,No
3808-HFKDE,20,44.35,927.15,5,Inactive,386.31,Medium Value,No
5583-SXDAG,1,70.0,70.0,4,Inactive,23.33,Low Value,Yes
3488-PGMQJ,8,74.5,606.55,6,At Risk,303.27,Medium Value,Yes
3580-REOAC,10,44.85,435.4,5,Inactive,181.42,Medium Value,Yes
7534-BFESC,24,76.1,1712.7,7,At Risk,999.08,High Value,Yes
3727-OWVYD,35,61.2,2021.2,8,Loyal Customers,1347.47,High Value,No
2294-SALNE,23,86.8,1940.8,8,Loyal Customers,1293.87,High Value,No
4847-TAJYI,6,89.35,567.8,6,At Risk,283.9,Medium Value,No
1563-IWQEX,12,19.7,220.35,4,Inactive,73.45,Low Value,No
8203-XJZRC,1,20.25,20.25,3,Inactive,5.06,Low Value,No
6556-DBKZF,71,76.05,5436.45,9,Loyal Customers,4077.34,Premium,No
6851-WEFYX,35,100.8,3437.5,10,Champions,2864.58,High Value,No
2985-JUUBZ,40,74.55,3015.75,9,Loyal Customers,2261.81,High Value,No
6390-DSAZX,1,73.6,73.6,6,At Risk,36.8,Low Value,Yes
0895-LMRSF,23,64.9,1509.8,6,At Risk,754.9,Medium Value,No
8098-LLAZX,4,95.45,396.1,8,Loyal Customers,264.07,Medium Value,Yes
8266-VBFQL,4,90.4,356.65,8,Loyal Customers,237.77,Medium Value,No
8181-YHCMF,68,60.3,4109.0,9,Loyal Customers,3081.75,Premium,No
2240-HSJQD,38,81.85,3141.7,8,Loyal Customers,2094.47,High Value,No
1248-DYXUB,52,24.8,1229.1,6,At Risk,614.55,Medium Value,No
0265-EDXBD,32,74.9,2303.35,8,Loyal Customers,1535.57,High Value,Yes
4115-BNPJY,29,75.55,2054.4,8,Loyal Customers,1369.6,High Value,No
3167-SNQPL,38,101.15,3741.85,10,Champions,3118.21,Premium,No
4091-TVOCN,48,78.75,3682.45,10,Champions,3068.71,Premium,No
1098-TDVUQ,1,19.25,19.25,3,Inactive,4.81,Low Value,No
7277-OZCGZ,22,89.05,1886.25,8,Loyal Customers,1257.5,High Value,No
1557-EMYVT,43,115.05,4895.1,11,Champions,4487.18,Premium,No
2799-ARNLO,5,69.35,341.6,4,Inactive,113.87,Low Value,No
7563-BIUPC,5,80.6,415.55,6,At Risk,207.78,Medium Value,Yes
5027-YOCXN,51,110.05,5686.4,11,Champions,5212.53,Premium,No
3973-SKMLN,71,19.9,1355.1,6,At Risk,677.55,Medium Value,No
2321-OMBXY,38,80.3,3058.65,10,Champions,2548.88,High Value,Yes
2840-XANRC,24,93.15,2231.05,9,Loyal Customers,1673.29,High Value,Yes
6745-JEFZB,35,91.5,3236.35,10,Champions,2696.96,High Value,No
5020-ZSTTY,54,82.45,4350.1,10,Champions,3625.08,Premium,Yes
9880-TDQAC,72,60.0,4264.0,9,Loyal Customers,3198.0,Premium,No
8705-WZCYL,1,44.8,44.8,4,Inactive,14.93,Low Value,No
7102-JJVTX,9,48.6,422.3,5,Inactive,175.96,Medium Value,No
8626-PTQGE,69,60.05,4176.7,9,Loyal Customers,3132.52,Premium,No
4983-CLMLV,52,102.7,5138.1,11,Champions,4709.92,Premium,No
5701-YVSVF,11,82.9,880.05,7,At Risk,513.36,Medium Value,No
5804-LEPIM,2,70.35,139.05,4,Inactive,46.35,Low Value,Yes
5697-GOMBF,28,35.9,973.65,5,Inactive,405.69,Medium Value,No
2739-CACDQ,17,82.65,1470.05,7,At Risk,857.53,High Value,No
9385-EHGDO,35,19.85,739.35,5,Inactive,308.06,Medium Value,No
9498-FIMXL,8,19.2,161.95,3,Inactive,40.49,Low Value,No
2379-GYFLQ,46,94.9,4422.95,10,Champions,3685.79,Premium,No
0122-OAHPZ,7,73.85,511.25,6,At Risk,255.62,Medium Value,Yes
2868-SNELZ,2,80.6,155.8,6,At Risk,77.9,Low Value,Yes
4322-RCYMT,68,75.8,5293.95,11,Champions,4852.79,Premium,Yes
6680-NENYN,43,104.6,4759.85,11,Champions,4363.2,Premium,Yes
2088-IEBAU,68,88.15,6148.45,11,Champions,5636.08,Premium,No
7982-VCELR,36,94.8,3565.65,10,Champions,2971.38,High Value,No
1343-EHPYB,63,103.4,6603.0,12,Champions,6603.0,Premium,Yes
6035-BXTTY,32,54.65,1830.1,7,At Risk,1067.56,High Value,No
6885-PKOAM,71,85.75,6223.8,11,Champions,5705.15,Premium,No
7520-HQWJU,66,67.45,4508.65,9,Loyal Customers,3381.49,Premium,No
9639-BUJXT,63,20.5,1328.15,6,At Risk,664.08,Medium Value,No
5924-SNGKP,41,20.25,865.0,5,Inactive,360.42,Medium Value,No
0021-IKXGC,1,72.1,72.1,6,At Risk,36.05,Low Value,No
2034-GDRCN,2,90.4,168.2,7,At Risk,98.12,Low Value,Yes
8966-SNIZF,70,19.45,1303.5,6,At Risk,651.75,Medium Value,No
6243-OZGFH,23,44.95,996.85,6,At Risk,498.42,Medium Value,No
4654-DLAMQ,64,97.0,6430.9,11,Champions,5894.99,Premium,No
0513-RBGPE,37,62.8,2278.75,8,Loyal Customers,1519.17,High Value,No
5160-UXJED,17,44.6,681.4,5,Inactive,283.92,Medium Value,No
4115-NZRKS,7,89.15,574.35,6,At Risk,287.18,Medium Value,No
0219-YTZUE,4,84.8,371.9,7,At Risk,216.94,Medium Value,Yes
0623-IIHUG,21,41.9,840.1,6,At Risk,420.05,Medium Value,Yes
4572-DVCGN,10,80.25,846.0,7,At Risk,493.5,Medium Value,Yes
3351-NGXYI,16,54.1,889.0,6,At Risk,444.5,Medium Value,No
